"region_nr";"region_navn";"landsdel_nr";"landsdel_navn";"kommunenummer";"kommune_navn";"kommunegruppe"
1084;"Hovedstaden";1;"ByenKøbenhavn";101;"København";"Hovedstadskommune"
1084;"Hovedstaden";1;"ByenKøbenhavn";147;"Frederiksberg";"Hovedstadskommune"
1084;"Hovedstaden";1;"ByenKøbenhavn";155;"Dragør";"Hovedstadskommune"
1084;"Hovedstaden";1;"ByenKøbenhavn";185;"Tårnby";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";165;"Albertslund";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";151;"Ballerup";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";153;"Brøndby";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";157;"Gentofte";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";159;"Gladsaxe";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";161;"Glostrup";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";163;"Herlev";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";167;"Hvidovre";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";169;"Høje-Taastrup";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";183;"Ishøj";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";173;"Lyngby-Taarbæk";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";175;"Rødovre";"Hovedstadskommune"
1084;"Hovedstaden";2;"Københavnsomegn";187;"Vallensbæk";"Hovedstadskommune"
1084;"Hovedstaden";3;"Nordsjælland";201;"Allerød";"Hovedstadskommune"
1084;"Hovedstaden";3;"Nordsjælland";240;"Egedal";"Hovedstadskommune"
1084;"Hovedstaden";3;"Nordsjælland";210;"Fredensborg";"Oplandskommune"
1084;"Hovedstaden";3;"Nordsjælland";250;"Frederikssund";"Oplandskommune"
1084;"Hovedstaden";3;"Nordsjælland";190;"Furesø";"Hovedstadskommune"
1084;"Hovedstaden";3;"Nordsjælland";270;"Gribskov";"Oplandskommune"
1084;"Hovedstaden";3;"Nordsjælland";260;"Halsnæs";"Oplandskommune"
1084;"Hovedstaden";3;"Nordsjælland";217;"Helsingør";"Provinsbykommune"
1084;"Hovedstaden";3;"Nordsjælland";219;"Hillerød";"Provinsbykommune"
1084;"Hovedstaden";3;"Nordsjælland";223;"Hørsholm";"Hovedstadskommune"
1084;"Hovedstaden";3;"Nordsjælland";230;"Rudersdal";"Hovedstadskommune"
1084;"Hovedstaden";4;"Bornholm";400;"Bornholm";"Landkommune"
1085;"Sjælland";5;"Østsjælland";253;"Greve";"Hovedstadskommune"
1085;"Sjælland";5;"Østsjælland";259;"Køge";"Provinsbykommune"
1085;"Sjælland";5;"Østsjælland";350;"Lejre";"Oplandskommune"
1085;"Sjælland";5;"Østsjælland";265;"Roskilde";"Provinsbykommune"
1085;"Sjælland";5;"Østsjælland";269;"Solrød";"Hovedstadskommune"
1085;"Sjælland";6;"Vest-ogSydsjælland";320;"Faxe";"Oplandskommune"
1085;"Sjælland";6;"Vest-ogSydsjælland";376;"Guldborgsund";"Landkommune"
1085;"Sjælland";6;"Vest-ogSydsjælland";316;"Holbæk";"Oplandskommune"
1085;"Sjælland";6;"Vest-ogSydsjælland";326;"Kalundborg";"Landkommune"
1085;"Sjælland";6;"Vest-ogSydsjælland";360;"Lolland";"Landkommune"
1085;"Sjælland";6;"Vest-ogSydsjælland";370;"Næstved";"Provinsbykommune"
1085;"Sjælland";6;"Vest-ogSydsjælland";306;"Odsherred";"Landkommune"
1085;"Sjælland";6;"Vest-ogSydsjælland";329;"Ringsted";"Oplandskommune"
1085;"Sjælland";6;"Vest-ogSydsjælland";330;"Slagelse";"Provinsbykommune"
1085;"Sjælland";6;"Vest-ogSydsjælland";340;"Sorø";"Oplandskommune"
1085;"Sjælland";6;"Vest-ogSydsjælland";336;"Stevns";"Oplandskommune"
1085;"Sjælland";6;"Vest-ogSydsjælland";390;"Vordingborg";"Landkommune"
1083;"Syddanmark";7;"Fyn";420;"Assens";"Oplandskommune"
1083;"Syddanmark";7;"Fyn";430;"Faaborg-Midtfyn";"Oplandskommune"
1083;"Syddanmark";7;"Fyn";440;"Kerteminde";"Oplandskommune"
1083;"Syddanmark";7;"Fyn";482;"Langeland";"Landkommune"
1083;"Syddanmark";7;"Fyn";410;"Middelfart";"Oplandskommune"
1083;"Syddanmark";7;"Fyn";480;"Nordfyns";"Oplandskommune"
1083;"Syddanmark";7;"Fyn";450;"Nyborg";"Oplandskommune"
1083;"Syddanmark";7;"Fyn";461;"Odense";"Storbykommune"
1083;"Syddanmark";7;"Fyn";479;"Svendborg";"Landkommune"
1083;"Syddanmark";7;"Fyn";492;"Ærø";"Landkommune"
1083;"Syddanmark";8;"Sydjylland";530;"Billund";"Landkommune"
1083;"Syddanmark";8;"Sydjylland";561;"Esbjerg";"Provinsbykommune"
1083;"Syddanmark";8;"Sydjylland";563;"Fanø";"Landkommune"
1083;"Syddanmark";8;"Sydjylland";607;"Fredericia";"Provinsbykommune"
1083;"Syddanmark";8;"Sydjylland";510;"Haderslev";"Landkommune"
1083;"Syddanmark";8;"Sydjylland";621;"Kolding";"Provinsbykommune"
1083;"Syddanmark";8;"Sydjylland";540;"Sønderborg";"Landkommune"
1083;"Syddanmark";8;"Sydjylland";550;"Tønder";"Landkommune"
1083;"Syddanmark";8;"Sydjylland";573;"Varde";"Landkommune"
1083;"Syddanmark";8;"Sydjylland";575;"Vejen";"Oplandskommune"
1083;"Syddanmark";8;"Sydjylland";630;"Vejle";"Provinsbykommune"
1083;"Syddanmark";8;"Sydjylland";580;"Aabenraa";"Landkommune"
1082;"Midtjylland";9;"Østjylland";710;"Favrskov";"Oplandskommune"
1082;"Midtjylland";9;"Østjylland";766;"Hedensted";"Oplandskommune"
1082;"Midtjylland";9;"Østjylland";615;"Horsens";"Provinsbykommune"
1082;"Midtjylland";9;"Østjylland";707;"Norddjurs";"Landkommune"
1082;"Midtjylland";9;"Østjylland";727;"Odder";"Oplandskommune"
1082;"Midtjylland";9;"Østjylland";730;"Randers";"Provinsbykommune"
1082;"Midtjylland";9;"Østjylland";741;"Samsø";"Landkommune"
1082;"Midtjylland";9;"Østjylland";740;"Silkeborg";"Provinsbykommune"
1082;"Midtjylland";9;"Østjylland";746;"Skanderborg";"Oplandskommune"
1082;"Midtjylland";9;"Østjylland";706;"Syddjurs";"Oplandskommune"
1082;"Midtjylland";9;"Østjylland";751;"Aarhus";"Storbykommune"
1082;"Midtjylland";10;"Vestjylland";657;"Herning";"Provinsbykommune"
1082;"Midtjylland";10;"Vestjylland";661;"Holstebro";"Provinsbykommune"
1082;"Midtjylland";10;"Vestjylland";756;"Ikast-Brande";"Oplandskommune"
1082;"Midtjylland";10;"Vestjylland";665;"Lemvig";"Landkommune"
1082;"Midtjylland";10;"Vestjylland";760;"Ringkøbing-Skjern";"Landkommune"
1082;"Midtjylland";10;"Vestjylland";779;"Skive";"Landkommune"
1082;"Midtjylland";10;"Vestjylland";671;"Struer";"Landkommune"
1082;"Midtjylland";10;"Vestjylland";791;"Viborg";"Provinsbykommune"
1081;"Nordjylland";11;"Nordjylland";810;"Brønderslev";"Landkommune"
1081;"Nordjylland";11;"Nordjylland";813;"Frederikshavn";"Landkommune"
1081;"Nordjylland";11;"Nordjylland";860;"Hjørring";"Landkommune"
1081;"Nordjylland";11;"Nordjylland";849;"Jammerbugt";"Landkommune"
1081;"Nordjylland";11;"Nordjylland";825;"Læsø";"Landkommune"
1081;"Nordjylland";11;"Nordjylland";846;"Mariagerfjord";"Landkommune"
1081;"Nordjylland";11;"Nordjylland";773;"Morsø";"Landkommune"
1081;"Nordjylland";11;"Nordjylland";840;"Rebild";"Oplandskommune"
1081;"Nordjylland";11;"Nordjylland";787;"Thisted";"Landkommune"
1081;"Nordjylland";11;"Nordjylland";820;"Vesthimmerlands";"Landkommune"
1081;"Nordjylland";11;"Nordjylland";851;"Aalborg";"Storbykommune"
